,country,area_sqkm,population_2013,density
6,India,3287590,1252139596,380.86853774345343
34,Pakistan,803940,182142594,226.56242256884843
31,Nigeria,923768,173615345,187.9425840687272
3,China,9596960,1385566537,144.37556653356896
14,Indonesia,1919440,249865631,130.17631757179177
42,France,643427,64291280,99.92008417427307
36,Turkey,780580,74932641,95.9961067411412
26,Ethiopia,1127127,94100756,83.48726984625513
29,Egypt,1001450,82056378,81.93756852563783
39,Myanmar (Burma),678500,53259018,78.49523655121591
48,Kenya,582650,44353691,76.12407277096027
45,Ukraine,603700,45238805,74.93590359450057
13,Mexico,1972550,122332399,62.017388152391575
30,Tanzania,945087,49253126,52.114912172106905
40,Afghanistan,647500,30551674,47.18405250965251
17,Iran,1648000,77447168,46.99464077669903
49,Yemen,527970,24407381,46.228727011004416
24,South Africa,1219912,52776130,43.262243506088964
25,Colombia,1138910,48321405,42.42776426583312
47,Madagascar,587040,22924851,39.051599550286184
32,Venezuela,912050,30405207,33.337215064963544
2,United States of America,9826630,320050716,32.56973306209758
35,Mozambique,801590,25833752,32.228136578550135
10,Congo Dem Rep of the,2345410,67513677,28.785447746875814
19,Peru,1285220,30375603,23.63455517343334
4,Brazil,8511965,200361925,23.53885677396465
37,Chile,756950,17619708,23.277241561529824
15,Sudan,1844729,37964306,20.579882465120892
38,Zambia,752614,14538640,19.31752531842352
41,South Sudan,644329,11296173,17.531684900105382
22,Angola,1246700,21471618,17.22276249298147
9,Algeria,2381740,39208194,16.461995851772233
43,Somalia,637657,10495583,16.45960602643741
7,Argentina,2766890,41446246,14.979361665986
21,Niger,1267000,17831270,14.073614838200474
12,Saudi Arabia,2149690,28828870,13.410710381496868
23,Mali,1240000,15301650,12.340040322580645
20,Chad,1284000,12825314,9.98856230529595
27,Bolivia,1098580,10671200,9.713630322780316
0,Russia,17075200,142833689,8.364978975356072
44,Central African Republic,622984,4616417,7.410169442553902
8,Kazakhstan,2717300,16440586,6.0503389393883635
28,Mauritania,1030700,3889880,3.7740176579023963
16,Libya,1759540,6201521,3.5245126567170963
1,Canada,9984670,35181704,3.5235720359310823
46,Botswana,600370,2021144,3.3664973266485667
5,Australia,7686850,23342553,3.036686419014291
33,Namibia,825418,2303315,2.79048312491368
18,Mongolia,1564116,2839073,1.815129440527429
11,Greenland,2166086,56987,0.02630874305082993
